commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
7d4b7bb4e2d95bba58e31a07458d5bd85cc13bf5,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
81cc5957ce00f22615106dd5c6af827c7bd39bda,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
86873b5f9555bb5b98a66e51fc8584c39f723dad,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
871ad7a869583d57bf429d1e5146bca96a667b82,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
8d292daf0248ac02d68e8895a70bc288aba4e55f,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
8e6cdf2ade8cf06b424ca0ec40177354c5a4b7cf,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
8f0461690d9a885ffae5e0a7117aff460ab27ab7,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
90568daee498ec53123a46ebf11d11974cb66f1d,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
93b393f617cac2bf98881e5dc33bdd88f72a9f00,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
97c1c00af87aaae69dd56aa2480ff304d40cf516,191,6,3,7,16,177,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
996bc9d0d57693dd9db8e4d66dcc47fe157ae41a,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
9c8da1faa55adc79c7403f99daeac89b75c17794,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
a25881cc1bbd266cdcfc53914d24c47ac3ac965c,196,6,3,7,16,182,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
a41827de8f81783af08138c3497774c3bf3685a2,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
a4b0f642b255e3137b2485d5913983fd5899acd2,197,6,3,7,16,183,"[259, 327, 330, 78, 400, 502, 22, 377, 703]"
